Activity,Duration,Category,Participants,SDG
Public speaking practice sessions,1 week,Cultural Exchange,20,Quality Education
Dorm Olympics,Full day,Innovation and Technology,40,Climate Action
Cultural artifact exhibitions,2-3 hours,Arts and Creativity,20,Quality Education
Dorm garden planting day,1 hour,Sports and Recreation,40,Reduced Inequalities
Local charity fundraisers,1 week,Sports and Recreation,20,Climate Action
Group jogging sessions,Half day,Education,15,Good Health and Well-being
Dorm Christmas ornament crafting,Full day,Innovation and Technology,40,"Industry, Innovation, and Infrastructure"
Science book club,1 week,Community Engagement,15,"Industry, Innovation, and Infrastructure"
Dorm hiking trips,1 hour,Health and Well-being,15,Sustainable Cities and Communities
Dorm spelling bee,1 week,Culinary Arts,80,Good Health and Well-being
Water-saving challenges,1 hour,Education,20,Good Health and Well-being
Tea-tasting events,2-3 hours,Arts and Creativity,20,Reduced Inequalities
Quick-draw art contests,Full day,Sports and Recreation,80,Reduced Inequalities
Language exchange sessions,1 hour,Innovation and Technology,150,"Industry, Innovation, and Infrastructure"
Winter movie marathons,2-3 hours,Health and Well-being,80,Partnerships for the Goals
Valentine’s Day craft night,Half day,Cultural Exchange,40,"Industry, Innovation, and Infrastructure"
Virtual pen-pal exchange,Half day,Health and Well-being,15,Quality Education
Snowflake crafting,2-3 hours,Sports and Recreation,15,Quality Education
Graffiti art competitions,Full day,Innovation and Technology,15,Partnerships for the Goals
Dorm social experiment nights,1 hour,Community Engagement,15,Reduced Inequalities
Cooking with leftovers,1 week,Environmental Awareness,15,Sustainable Cities and Communities
VR gaming nights,2-3 hours,Community Engagement,80,Sustainable Cities and Communities
Music theory workshops,1 week,Culinary Arts,40,Climate Action
DIY sushi rolling,1 hour,Arts and Creativity,20,"Industry, Innovation, and Infrastructure"
Online safety seminars,2-3 hours,Cultural Exchange,20,Reduced Inequalities
Dorm-wide word search,Full day,Environmental Awareness,40,Sustainable Cities and Communities
Nightly gratitude sharing,Half day,Culinary Arts,20,Quality Education
Self-care Saturdays,1 week,Education,20,Climate Action
Winter dorm hot chocolate night,1 hour,Education,40,Quality Education
Dorm fitness challenges,Half day,Health and Well-being,150,"Industry, Innovation, and Infrastructure"
Songwriting competitions,2-3 hours,Sports and Recreation,40,Partnerships for the Goals
Group photo day,Full day,Sports and Recreation,80,Good Health and Well-being
Ultimate frisbee games,2-3 hours,Environmental Awareness,20,Quality Education
Paint-by-numbers murals,Full day,Entertainment,150,Good Health and Well-being
Mental health talks,1 week,Health and Well-being,15,Sustainable Cities and Communities
Calligraphy workshops,Full day,Community Engagement,20,"Industry, Innovation, and Infrastructure"
Halloween costume contests,2-3 hours,Environmental Awareness,40,Good Health and Well-being
Outdoor camping trips,1 week,Education,150,Good Health and Well-being
Dorm etiquette training nights,Half day,Culinary Arts,150,Quality Education
Eating contests,Half day,Cultural Exchange,20,Good Health and Well-being
Spikeball games,1 hour,Innovation and Technology,150,Sustainable Cities and Communities
Sleep improvement seminars,Half day,Arts and Creativity,150,Good Health and Well-being
Meme creation contests,Half day,Health and Well-being,40,Good Health and Well-being
Chess competitions,Full day,Sports and Recreation,80,Partnerships for the Goals
DIY music recording workshops,Half day,Entertainment,15,Sustainable Cities and Communities
Dorm baking competition,1 week,Innovation and Technology,150,Reduced Inequalities
